Optical Power Monitor 4.1.4204.742

Power Meter;PM16-130
Power Meter SN;15122110
Sensor;
Sensor SN;
Sensor Type;
Wavelength;660 nm
Range;Auto;range changed during the measurement.

Start of Measurement;9/19/2025 16:20:45
Elapsed Time;00:01:04:258
Samples;1060

--Statistics--
Minimum [W];2,5862E-09
Maximum [W];0,00013481
Mean [W];8,3877E-05
Standard Deviation [W];5,0699E-05
Ratio;52127,387 : 1

--Graph Data--
Time (ms);Power (W)
13906,904;3,2614E-05
13966,584;3,2615E-05
14026,584;3,255E-05
14087,285;3,2512E-05
14146,285;3,2514E-05
14206,941;3,249E-05
14266,941;3,2526E-05
14326,619;3,2568E-05
14386,619;3,2571E-05
14446,299;3,2578E-05
14506,299;3,2544E-05
14565,978;3,252E-05
14625,978;3,2504E-05
14685,658;3,2506E-05
14745,658;3,2553E-05
14807,332;3,2559E-05
14866,332;3,2513E-05
14926,332;3,2495E-05
14985,854;3,2533E-05
15045,854;3,2549E-05
15105,544;3,2596E-05
15165,544;3,3187E-05
15225,212;3,5351E-05
15285,212;3,9195E-05
15345,889;4,3653E-05
15405,889;4,7777E-05
15465,568;5,1064E-05
15525,568;5,3358E-05
15585,247;5,5449E-05
15645,247;5,7868E-05
15704,952;6,0279E-05
15764,952;6,301E-05
15826,601;6,591E-05
15885,601;6,8048E-05
15946,282;6,9056E-05
16004,282;6,9325E-05
16065,972;6,9354E-05
16124,972;6,9316E-05
16189,652;6,9253E-05
16244,652;6,925E-05
16307,337;6,9306E-05
16364,337;6,9274E-05
16424,337;6,9207E-05
16484,838;6,9209E-05
16544,838;6,9232E-05
16604,518;6,9216E-05
16664,518;6,9153E-05
16724,203;6,9146E-05
16784,203;6,9189E-05
16843,909;6,9182E-05
16903,909;6,9172E-05
16964,555;6,9173E-05
17024,555;6,9144E-05
17084,233;6,9116E-05
17144,233;6,9107E-05
17203,941;6,9086E-05
17263,941;6,9093E-05
17323,619;6,911E-05
17383,619;6,9082E-05
17443,270;6,907E-05
17503,270;6,9087E-05
17563,948;6,9086E-05
17623,948;6,9057E-05
17683,625;6,9028E-05
17743,625;6,902E-05
17805,329;6,9005E-05
17863,329;6,8968E-05
17923,329;6,8927E-05
17982,857;6,8891E-05
18042,857;6,8871E-05
18103,502;6,8861E-05
18163,502;6,8863E-05
18223,181;6,8868E-05
18283,181;6,8857E-05
18342,863;6,8842E-05
18402,863;6,884E-05
18462,540;6,8843E-05
18522,540;6,8843E-05
18582,255;6,8849E-05
18642,255;6,8847E-05
18702,896;6,8877E-05
18762,896;6,8922E-05
18822,575;6,8863E-05
18882,575;6,8833E-05
18942,254;6,8844E-05
