Optical Power Monitor 4.1.4204.742

Power Meter;PM16-130
Power Meter SN;15122110
Sensor;
Sensor SN;
Sensor Type;
Wavelength;660 nm
Range;Auto;range changed during the measurement.

Start of Measurement;9/19/2025 16:16:04
Elapsed Time;00:00:54:968
Samples;904

--Statistics--
Minimum [W];1,725E-05
Maximum [W];0,04942
Mean [W];0,032583
Standard Deviation [W];0,015697
Ratio;2864,865 : 1

--Graph Data--
Time (ms);Power (W)
42560,606;0,046101
42619,606;0,046102
42680,148;0,046109
42740,148;0,046113
42799,833;0,046111
42859,833;0,046109
42919,515;0,046104
42979,515;0,046104
43040,159;0,046109
43100,159;0,046105
43159,840;0,046102
43219,840;0,046102
43279,519;0,0461
43339,519;0,046096
43399,230;0,046097
43459,230;0,046158
43519,880;0,046605
43579,880;0,047577
43639,555;0,048671
43699,555;0,04919
43759,256;0,049204
43819,256;0,049174
43880,931;0,049179
43938,931;0,049225
44002,615;0,049235
44058,615;0,049239
44118,615;0,049238
44178,144;0,049238
44238,144;0,049237
44298,819;0,049238
44358,819;0,049238
44418,466;0,049237
44478,466;0,049238
44538,145;0,049236
44598,145;0,049235
44657,826;0,049238
44717,826;0,049235
44778,503;0,049232
44838,503;0,049232
44898,181;0,049231
44958,181;0,049228
45017,861;0,049227
45077,861;0,04923
45137,540;0,049228
45197,540;0,049226
45257,220;0,049226
45317,220;0,049212
45377,896;0,049189
45437,896;0,049186
45497,575;0,049195
45557,575;0,049201
45618,252;0,049208
45677,252;0,04921
45737,252;0,049215
45796,773;0,049218
45856,773;0,049216
45917,450;0,049218
45977,450;0,049217
46037,129;0,049211
46097,129;0,049213
46156,810;0,049218
46216,810;0,049216
46276,510;0,049216
46336,510;0,049214
46396,167;0,049214
46456,167;0,049219
46516,844;0,049224
46576,844;0,049229
46636,524;0,049227
46695,524;0,049221
46756,203;0,049223
46816,203;0,049223
46875,882;0,049221
46935,882;0,049217
46995,561;0,049214
47055,561;0,049215
47117,259;0,04921
47175,259;0,049199
47235,259;0,049192
47295,757;0,049189
47355,757;0,049178
47415,436;0,049171
47475,436;0,049175
47535,115;0,049172
47595,115;0,04917
47655,792;0,049171
47715,792;0,049171
47775,471;0,049172
47835,471;0,049173
47895,151;0,049173
47955,151;0,049169
48015,838;0,049167
48075,838;0,049165
48134,513;0,049164
48194,513;0,049168
48255,186;0,049171
48315,186;0,049175
48374,866;0,049179
48434,866;0,049183
48494,544;0,049185
48554,544;0,049184
48615,222;0,049179
48674,222;0,049177
48734,222;0,04917
48793,743;0,049161
48853,743;0,049157
48914,419;0,049154
48974,419;0,049152
49034,100;0,04915
49094,100;0,049146
49153,807;0,04914
49213,807;0,049135
49273,480;0,049135
49333,480;0,049138
49394,134;0,049137
49454,134;0,049136
49513,813;0,049125
49573,813;0,049115
49633,493;0,049118
49693,493;0,049116
49753,172;0,049109
49813,172;0,0491
49873,849;0,049101
49933,849;0,049069
49993,527;0,049035
50053,527;0,04904
50113,208;0,049049
50173,208;0,049055
50233,208;0,049059
50292,726;0,049061
50352,726;0,049058
50412,439;0,049056
50472,439;0,049057
50533,082;0,04906
50593,082;0,04906
50652,761;0,049056
50712,761;0,049057
50772,445;0,049058
50832,445;0,049056
50892,119;0,049055
50952,119;0,049051
51011,799;0,04905
51071,799;0,049047
51132,482;0,049043
51192,482;0,049042
51252,156;0,049037
51311,156;0,049033
51371,863;0,049036
51431,863;0,049033
51491,514;0,049009
51551,514;0,048946
51613,198;0,048909
51672,198;0,04893
51732,198;0,048952
51791,719;0,04897
51851,719;0,048992
51911,411;0,048979
51971,411;0,048987
52031,067;0,048982
52091,067;0,04895
52150,747;0,048944
52210,747;0,048933
52271,425;0,048954
52331,425;0,04874
52391,109;0,048611
52451,109;0,048925
52510,814;0,049074
52570,814;0,049207
52630,461;0,049389
52690,461;0,049335
52750,141;0,049298
52810,141;0,049284
52870,831;0,049275
52930,831;0,049281
52990,498;0,049297
53050,498;0,049293
53111,174;0,049237
53170,174;0,049235
53230,174;0,049259
53289,728;0,049246
53349,728;0,049233
53410,372;0,049314
53470,372;0,049174
53530,052;0,049054
53590,052;0,049301
53649,731;0,04942
53709,731;0,049368
53769,409;0,049381
53829,409;0,049407
53889,117;0,049253
53949,117;0,049155
54009,766;0,049268
54069,766;0,049358
54129,445;0,049378
54189,445;0,049334
54250,122;0,049269
54309,122;0,049181
54368,836;0,04922
54428,836;0,049117
54489,480;0,04888
54548,480;0,049096
54608,480;0,049351
54668,999;0,04938
54728,999;0,049397
54788,678;0,049406
54848,678;0,049406
54908,358;0,049402
54968,358;0,049402
